"value","count","source"
"others",573,"dropdown"
"seema-gujral",13,"dropdown"
"maria",10,"dropdown"
"sana",8,"dropdown"
"anita-dogre",5,"dropdown"
"papadontpreach",3,"dropdown"
"mohsin",3,"dropdown"
"faraz",3,"dropdown"
"",3,"dropdown"
"suffuse",2,"dropdown"
"sobia-nazir",2,"dropdown"
"sabyasachi",2,"dropdown"
"gauravgupta",2,"dropdown"
"faiza",2,"dropdown"
"aghaoor",2,"dropdown"
"abhinavmishra",2,"dropdown"
"vvani",1,"dropdown"
"tarun",1,"dropdown"
"ritukumar",1,"dropdown"
"payalsinghal",1,"dropdown"
"masaba_gupta",1,"dropdown"
"manishmalhotra",1,"dropdown"
"mahima-mahajan",1,"dropdown"
"dollyj",1,"dropdown"
"asim",1,"dropdown"
"anushree",1,"dropdown"
"Hussain-rehar",1,"dropdown"
"",102,"freetext"
"N/A",75,"freetext"
"Arivaah",69,"freetext"
"na",56,"freetext"
"Pakistani",52,"freetext"
"Unknown",48,"freetext"
"Custom made",46,"freetext"
"Indian",40,"freetext"
"None",36,"freetext"
"Maria B",36,"freetext"
"No",32,"freetext"
"Yes",31,"freetext"
"Sana Safinaz",23,"freetext"
"India",23,"freetext"
"Agha noor",20,"freetext"
"Ethnic",19,"freetext"
"Seema Gujral",18,"freetext"
"Limelight",17,"freetext"
"Test",15,"freetext"
"ROYAL THREADS",15,"freetext"
"Kalki",15,"freetext"
"Lashkaraa",14,"freetext"
"no designer",12,"freetext"
"Local",12,"freetext"
"Asim Jofa",12,"freetext"
"Meena Bazaar",11,"freetext"
"Kalki Fashion",11,"freetext"
"Designer",11,"freetext"
"customised",11,"freetext"
"SANA SAFINA",10,"freetext"
"non designer",10,"freetext"
"no name",10,"freetext"
"Khaadi",10,"freetext"
"Faiza saqlain",10,"freetext"
"J.",9,"freetext"
"Home",9,"freetext"
"Custome made",9,"freetext"
"Boutique",9,"freetext"
"Baroque",9,"freetext"
"ssdesigners",8,"freetext"
"Lashkara",8,"freetext"
"Frontier Raas",8,"freetext"
"BIBA",8,"freetext"
"W",7,"freetext"
"not known",7,"freetext"
"not designer",7,"freetext"
"Lulusar",7,"freetext"
"Indya",7,"freetext"
"Indian designer",7,"freetext"
"Customized",7,"freetext"
"Custom",7,"freetext"
"-",7,"freetext"
"Suffuse by Sana Yasir",6,"freetext"
"self",6,"freetext"
"Sapphire",6,"freetext"
"Saira Shakira",6,"freetext"
"Pakistani Designer",6,"freetext"
"Pakistan",6,"freetext"
"Not sure",6,"freetext"
"Nil",6,"freetext"
"Hussain Rehar",6,"freetext"
"House of Indya",6,"freetext"
